text,occurrence
oh,61
wh,61
democrat,61
happened,61
rate,61
businessman,61
piece,61
school,61
along,61
establishment,61
ivanka,61
spectacular,61
definitely,61
replace,61
heart,61
respected,60
seriously,60
brilliant,60
tickets,60
cover,60
doubt,60
palm,60
mccain,60
sanders,60
imagine,60
tea,60
hours,60
wwe,60
calls,60
reform,59
perfect,59
boardroom,59
paul,59
defeat,59
role,59
serious,59
mar,59
genius,59
tweeting,59
health,59
biased,59
brandiglanville,59
wsj,59
aren,59
fans,59
offers,59
group,59
entrepreneur,58
fully,58
apologize,58
entire,58
bills,58
especially,58
bet,58
lago,58
met,58
calling,58
negotiation,58
sometimes,58
momentum,58
response,58
hi,57
teamtrump,57
month,57
opec,57
debates,57
rest,57
pass,57
terrorists,57
hey,57
michigan,57
level,57
allow,57
staff,57
trouble,57
appreciate,56
offer,56
players,56
bigleaguetruth,56
est,56
field,56
nevada,56
named,56
thinks,56
opening,56
ireland,56
hearing,56
terrorist,56
track,56
g,55
spend,55
alabama,55
returns,55
happening,55
sadly,55
focused,55
hosting,55
signature,55
turned,55
rigged,55
hotels,55
michael,55
mayor,55
morning_joe,55
chief,55
h,54
across,54
speaks,54
dollar,54
weeks,54
missed,54
trillion,54
2014,54
ridiculous,54
vision,54
aberdeen,54
front,54
whole,54
model,54
information,53
needed,53
anymore,53
finished,53
prayers,53
kelly,53
picture,53
career,53
fraud,53
higher,53
caught,53
sell,53
hero,53
policies,53
steve,53
joan,53
university,53
illegals,53
f,52
seems,52
raised,52
mcuban,52
whether,52
means,52
2013,52
tuned,52
icymi,52
cbs,52
paying,52
short,52
gun,52
agschneiderman,52
situation,52
cnbc,52
lied,52
cool,52
red,52
rnc,52
careful,52
fame,52
shot,52
thursday,52
starts,51
vp,51
mean,51
looked,51
funny,51
created,51
often,51
demand,51
talks,51
passed,51
gold,51
rove,51
except,51
california,51
reporter,50
ford,50
mention,50
oscars,50
former,50
conservative,50
trip,50
dangerous,50
key,50
three,50
succeed,50
cpac,50
expected,50
nflcommish,50
radical,50
either,50
daily,50
bringing,50
league,50
anthony,50
return,50
va,49
brought,49
discuss,49
realize,49
king,49
racist,49
desperate,49
mother,49
enemies,49
third,49
boston,49
easily,49
found,49
wasn,49
pro,49
barack,49
nymag,49
large,49
water,49
threat,49
financial,49
fall,49
side,49
hour,49
nations,49
geraldorivera,48
dropped,48
though,48
guess,48
telling,48
rated,48
available,48
deficit,48
county,48
todayshow,48
facebook,48
carter,48
imwithyou,48
project,48
secretary,48
anti,48
climate,48
crowds,48
based,48
sick,48
june,48
signing,48
wishes,48
attacks,47
worry,47
works,47
muslim,47
interests,47
unbelievable,47
chuck,47
received,47
lower,47
kids,47
brave,47
might,47
liberal,47
forbes,47
minister,47
politico,47
points,47
lucky,47
alone,47
indiana,47
beauty,47
mexican,47
program,47
25,46
vanityfair,46
libya,46
exactly,46
colorado,46
schneiderman,46
hands,46
agreed,46
sending,46
anncoulter,46
trumpscotland,46
bob,46
dnc,46
secret,46
outside,46
championship,46
prime,46
enemy,46
fail,46
courage,46
exclusive,46
majority,46
social,46
drudge_report,46
egypt,46
snowden,46
opinion,45
putting,45
quit,45
among,45
federal,45
guest,45
photo,45
born,45
workers,45
changed,45
winners,45
robert,45
james,45
due,45
themselves,45
jon,45
travel,45
straight,45
spirit,45
cute,45
handle,45
corrupt,45
fine,45
simple,45
nh,44
property,44
daughter,44
stopped,44
spoke,44
address,44
premiums,44
intelligence,44
afternoon,44
legal,44
ben,44
opportunities,44
manufacturing,44
executive,44
ugly,44
followers,44
mike_pence,44
trumpnewyork,44
dubai,44
myself,44
cause,44
facts,44
song,44
statements,44
trumpgolfla,43
5m,43
washingtonpost,43
uk,43
vs,43
anybody,43
solution,43
favor,43
single,43
expect,43
joan_rivers,43
east,43
angry,43
greatly,43
community,43
trumpsoho,43
gonna,43
hurricane,43
dying,43
central,43
attention,43
lyin,43
members,43
atlantic,43
hold,43
y,42
fool,42
trumplasvegas,42
historic,42
mine,42
drop,42
knowledge,42
tells,42
sugar,42
anyway,42
effort,42
trumptrain,42
keystone,42
destroying,42
rock,42
victims,42
rivers,42
rooms,42
clue,42
pushing,42
credibility,42
clean,42
helping,42
sent,42
shouldn,42
destroyed,42
bedminster,41
troops,41
popular,41
funding,41
whatever,41
unfair,41
shooting,41
write,41
stronger,41
gift,41
squawkcnbc,41
gopdebate,41
howard,41
immigrants,41
afghanistan,41
emails,41
issue,41
hair,41
tie,41
double,41
keeping,41
crookedhillary,41
endorsed,41
cares,41
nasty,41
fitn,41
progress,40
tried,40
stewart,40
arrived,40
latest,40
vince,40
keeps,40
thegarybusey,40
quickly,40
info,40
moving,40
inside,40
russian,40
tedcruz,40
rule,40
guys,40
powerful,40
amspec,40
treated,40
businesses,40
hand,40
wasting,40
grand,40
flotus,40
leezagibbons,40
fabulous,40
politically,40
amendment,40
claims,40
k,39
remain,39
stuff,39
hurt,39
reports,39
karl,39
bretbaier,39
approval,39
mikeandmike,39
consider,39
network,39
quote,39
kill,39
review,39
predicted,39
official,39
yours,39
notice,39
listening,39
2015,39
card,39
bankrupt,39
clear,39
stage,39
loss,39
happens,39
7pm,39
buying,39
january,39
warren,39
terrorism,39
soldiers,39
40,38
features,38
supporting,38
sc,38
georgia,38
drug,38
challenge,38
terror,38
gary,38
disgusting,38
saved,38
judge,38
town,38
dog,38
packed,38
lady,38
laws,38
investigation,38
anniversary,38
non,38
proven,38
half,38
lord,38
held,38
derek,38
decisions,38
toronto,38
9pm,38
living,38
flag,38
overrated,37
celebrate,37
scott,37
investment,37
enforcement,37
rights,37
rules,37
beyond,37
brady,37
committee,37
nbcnews,37
goals,37
holiday,37
brian,37
heroes,37
2017,37
unless,37
dem,37
autism,37
fed,37
missusa,37
sounds,37
ice,37
guns,37
insurance,37
professional,37
lincoln,37
newsmax,37
performance,37
san,37
eyes,37
ocean,37
somebody,37
broken,37
flights,37
restaurant,37
husband,37
board,37
msnbc,37
simply,37
17,36
voter,36
meetings,36
moron,36
islamic,36
potential,36
patriots,36
tour,36
rise,36
setting,36
written,36
summit,36
garbage,36
wear,36
senators,36
push,36
wise,36
agenda,36
negotiate,36
sue,36
later,36
seem,36
avenue,36
pence,36
following,36
quality,36
becoming,36
coast,35
treat,35
step,35
viewers,35
ap,35
scottish,35
tinyurl,35
light,35
games,35
football,35
leads,35
events,35
killer,35
according,35
online,35
ban,35
kenyamoore,35
worked,35
presidents,35
black,35
charge,35
plus,35
ceiling,35
construction,35
organization,35
mistakes,35
cold,35
recovery,35
vacation,35
4th,35
currency,35
elect,35
location,35
andrew,35
reported,34
unlike,34
admit,34
europe,34
planning,34
died,34
em,34
la,34
13th,34
style,34
different,34
ones,34
tired,34
dope,34
deserves,34
pretty,34
lord_sugar,34
shame,34
wealth,34
path,34
haven,34
birth,34
rating,34
dad,34
geraldo,34
louisiana,34
advantage,34
hosted,34
secure,34
rid,34
trumps,34
scandal,34
wednesday,34
issues,34
difference,34
supreme,34
churchill,34
puerto,34
speeches,34
ronald,34
current,34
graham,34
q,33
became,33
creating,33
crisis,33
sleep,33
serve,33
boss,33
attacking,33
standard,33
chucktodd,33
reporters,33
purchase,33
rico,33
saudi,33
charlotte,33
strange,33
folks,33
premiere,33
cant,33
pleasure,33
apple,33
foundation,33
grow,33
places,33
recent,33
guts,33
coverage,33
espn,33
independent,33
innocent,33
reviews,33
tbt,33
staying,33
www,33
safety,33
rebuild,33
howardstern,33
medicare,33
disgrace,33
trumpturnberry,32
fl,32
im,32
ok,32
un,32
largest,32
earth,32
crippled,32
prepared,32
loyal,32
comey,32
costs,32
promise,32
wallace,32
boycott,32
defend,32
ericbolling,32
awards,32
lying,32
dallas,32
wake,32
einstein,32
nomination,32
mac,32
brother,32
liar,32
solve,32
core,32
per,32
snl,32
spa,32
krauthammer,32
upcoming,32
weapons,32
green,32
african,32
reilly,32
smarter,32
appearance,32
trumpwaikiki,32
episodes,32
irrelevant,32
editorial,32
danny,32
owner,32
spot,32
coach,31
dt,31
ability,31
st,31
magnificent,31
spitzer,31
surprised,31
kate,31
moment,31
sales,31
fortune,31
silent,31
page,31
weakness,31
cnnpolitics,31
goal,31
ceo,31
impact,31
known,31
near,31
harder,31
pacific,31
thanksgiving,31
graydon,31
puts,31
albert,31
trumptoronto,31
negotiating,31
cuban,31
admire,31
winston,31
ashamed,31
poorly,31
involved,31
buildings,31
buffalo,31
damn,31
elite,31
enthusiasm,31
hole,31
increased,31
lobbyists,31
attitude,30
thomas,30
showing,30
24,30
35,30
60,30
fiscal,30
radio,30
henry,30
demdebate,30
certain,30
council,30
delegates,30
sanctions,30
deliver,30
clearly,30
behalf,30
officers,30
refuses,30
risk,30
brotherhood,30
ground,30
kerry,30
loving,30
liberty,30
couple,30
traceadkins,30
djt,30
personally,30
walk,30
blame,30
letter,30
elizabeth,30
polling,30
pressure,30
attacked,30
doonbeg,30
mails,30
finest,30
hawaii,30
contract,30
showed,30
local,30
stopping,30
motivation,30
whose,30
fear,30
recently,30
reasons,30
tahmooressi,30
storm,30
apology,30
enter,29
ferry,29
matt,29
completely,29
study,29
huffingtonpost,29
faith,29
nj,29
concerning,29
visiting,29
